Numerical Analysis Of A Buckling Beam

Program parameters:
  n       = 100
  N_max   = 100000
  epsilon = 1.000000e-02

Jacobi eigenpair algorithm completed:
  Number of iterations = 3310
  Max. Abs. off-diag.  = 0.00999786
  time spent           = 0.595701 s

Eigenvalues:
     Exact    |     Jacobi    |    Armadillo
-2.631715e-01 | +1.386653e-01
+2.773102e-01 | -1.405664e-01
-2.877438e-01 | +1.402943e-01
+2.884265e-01 | +1.378532e-01
-2.812362e-01 | -1.332808e-01
+2.675183e-01 | -1.266479e-01
-2.516401e-01 | -1.180570e-01
+2.326419e-01 | +1.076409e-01
-2.085009e-01 | +9.556068e-02
+1.821032e-01 | -8.200303e-02
-1.473729e-01 | -6.717760e-02
+1.136860e-01 | +5.131358e-02
-7.666480e-02 | +3.465625e-02
+3.745828e-02 | -1.746312e-02

eigenvalue = -3.977436e+00:
    Jacobi    |    Armadillo
+9.133232e-03 | -2.179720e-02
-1.124514e-02 | +4.306823e-02
+1.220260e-02 | -6.329963e-02
-1.311955e-02 | -8.200303e-02
+1.518944e-02 | -9.872696e-02
-1.140285e-02 | +1.130677e-01
+1.131109e-02 | +1.246791e-01
-3.064072e-03 | -1.332808e-01
-1.151108e-02 | -1.386653e-01
+2.279662e-02 | +1.407025e-01
-2.789178e-02 | +1.393433e-01
+2.686321e-02 | -1.346204e-01
-1.756498e-02 | -1.266479e-01
-4.023404e-03 | +1.156183e-01
+2.266901e-02 | +1.017977e-01
-4.406527e-02 | -8.551985e-02
+6.072132e-02 | +6.717760e-02
-7.619182e-02 | +4.721374e-02
+8.716962e-02 | -2.611019e-02
-9.007380e-02 | -4.376357e-03
+7.910744e-02 | +1.746312e-02
-6.007073e-02 | -3.888104e-02
+4.789044e-02 | +5.936042e-02
-3.389492e-02 | +7.840688e-02
+8.554501e-03 | +9.556068e-02
+1.635090e-02 | -1.104077e-01
-4.589349e-02 | -1.225896e-01
+7.447128e-02 | +1.318123e-01
-1.041731e-01 | +1.378532e-01
+1.331336e-01 | -1.405664e-01
-1.584843e-01 | -1.398864e-01
+1.849616e-01 | +1.358297e-01
-2.063376e-01 | +1.284943e-01
+2.298779e-01 | -1.180570e-01
-2.490813e-01 | -1.047700e-01
+2.624967e-01 | +8.895393e-02
-2.681205e-01 | -7.099058e-02
+2.616232e-01 | -5.131358e-02
-2.523633e-01 | +3.039792e-02
+2.427136e-01 | +8.748481e-03
-2.302573e-01 | -1.311214e-02
+2.137021e-01 | +3.465625e-02
-1.954696e-01 | +5.536378e-02
+1.752897e-01 | -7.473488e-02
-1.513085e-01 | +9.230195e-02
+1.290029e-01 | +1.076409e-01
-9.739442e-02 | -1.203816e-01
+6.184264e-02 | -1.302163e-01
-3.511182e-02 | -1.369077e-01
+9.680174e-03 | +1.402943e-01
+1.414850e-02 | -1.402943e-01
-3.262374e-02 | -1.369077e-01
+4.649212e-02 | -1.302163e-01
-5.656887e-02 | +1.203816e-01
+6.217083e-02 | +1.076409e-01
-7.702361e-02 | -9.230195e-02
+9.297474e-02 | -7.473488e-02
-1.087162e-01 | +5.536378e-02
+1.175001e-01 | +3.465625e-02
-1.201399e-01 | -1.311214e-02
+1.222063e-01 | -8.748481e-03
-1.199936e-01 | -3.039792e-02
+1.161382e-01 | +5.131358e-02
-1.069026e-01 | +7.099058e-02
+9.599314e-02 | +8.895393e-02
-7.535463e-02 | -1.047700e-01
+5.388150e-02 | +1.180570e-01
-3.135258e-02 | +1.284943e-01
+1.424465e-02 | +1.358297e-01
-1.848545e-03 | -1.398864e-01
-1.370191e-02 | +1.405664e-01
+2.271675e-02 | +1.378532e-01
-2.472382e-02 | +1.318123e-01
+2.436064e-02 | -1.225896e-01
-1.957017e-02 | -1.104077e-01
+2.410732e-02 | +9.556068e-02
-2.444447e-02 | +7.840688e-02
+1.622217e-02 | -5.936042e-02
-1.163975e-02 | -3.888104e-02
+2.263826e-03 | +1.746312e-02
+3.141126e-04 | -4.376357e-03
-4.637830e-03 | +2.611019e-02
+6.656931e-03 | +4.721374e-02
-1.368242e-02 | -6.717760e-02
+2.240479e-02 | -8.551985e-02
-2.776915e-02 | +1.017977e-01
+2.852370e-02 | +1.156183e-01
-3.056265e-02 | -1.266479e-01
+2.273378e-02 | +1.346204e-01
-9.291304e-03 | +1.393433e-01
-3.134381e-03 | -1.407025e-01
+1.128047e-02 | -1.386653e-01
-1.519670e-02 | -1.332808e-01
+1.858517e-02 | +1.246791e-01
-1.703288e-02 | +1.130677e-01
+1.700033e-02 | -9.872696e-02
-1.924028e-02 | -8.200303e-02
+1.983448e-02 | +6.329963e-02
-1.657522e-02 | +4.306823e-02
+9.623543e-03 | -2.179720e-02

eigenvalue = -3.965797e+00:
    Jacobi    |    Armadillo
-4.342659e-02 | +2.611019e-02
+9.084725e-02 | -5.131358e-02
-1.328618e-01 | +7.473488e-02
+1.714911e-01 | +9.556068e-02
-2.057143e-01 | +1.130677e-01
+2.287021e-01 | -1.266479e-01
-2.439435e-01 | -1.358297e-01
+2.434249e-01 | +1.402943e-01
-2.378882e-01 | +1.398864e-01
+2.373672e-01 | -1.346204e-01
-2.232686e-01 | -1.246791e-01
+1.983144e-01 | +1.104077e-01
-1.666792e-01 | +9.230195e-02
+1.323710e-01 | -7.099058e-02
-9.609725e-02 | -4.721374e-02
+5.863251e-02 | +2.179720e-02
-2.218297e-02 | +4.376357e-03
-1.477770e-02 | +3.039792e-02
+5.930225e-02 | -5.536378e-02
-1.038089e-01 | -7.840688e-02
+1.436300e-01 | -9.872696e-02
-1.706029e-01 | +1.156183e-01
+1.950337e-01 | -1.284943e-01
-2.095047e-01 | -1.369077e-01
+2.169231e-01 | -1.405664e-01
-2.231067e-01 | +1.393433e-01
+2.136773e-01 | +1.332808e-01
-2.065350e-01 | -1.225896e-01
+1.959263e-01 | -1.076409e-01
-1.780566e-01 | +8.895393e-02
+1.495109e-01 | +6.717760e-02
-1.155428e-01 | -4.306823e-02
